position,reference_base,alternative_base,frequency
44,T,C,0.47%
158,A,G,0.24%
165,T,C,0.27%
183,A,G,0.22%
193,A,G,0.22%
216,A,G,0.24%
218,A,G,0.29%
222,T,C,0.25%
254,A,G,0.19%
276,A,G,0.24%
319,T,C,0.23%
340,T,C,0.21%
356,A,G,0.24%
370,A,G,0.21%
398,A,G,0.22%
403,A,G,0.19%
409,T,C,0.19%
414,T,C,0.22%
421,A,G,0.18%
463,A,G,0.19%
499,A,G,0.21%
516,A,G,0.2%
548,A,G,0.19%
591,A,G,0.19%
607,A,G,0.18%
660,A,G,0.27%
670,A,G,0.28%
691,A,G,0.23%
722,A,G,0.23%
744,A,G,0.25%
793,A,G,0.17%
859,A,G,0.29%
898,A,G,0.2%
915,T,C,0.21%
987,A,G,0.22%
1031,A,G,0.28%
1056,T,C,0.19%
1086,A,G,0.21%
1100,T,C,0.21%
1213,A,G,0.22%
1264,T,C,0.21%
1280,T,C,0.24%
1358,A,G,0.25%
1366,A,G,0.22%
1398,T,C,0.23%
1421,A,G,0.24%
1460,A,G,0.37%
1482,A,G,0.25%
1517,A,G,0.24%
1520,T,C,0.27%
1600,T,C,0.35%
1604,T,C,0.31%
